scenario,roof_scenario,depot_id,hour,grid_kw,pv_used_kw,pv_curtail_kw,bus_charge_kw,bess_charge_kw,bess_discharge_kw,bess_soc_kwh,unserved_kwh,dt_hours
S0,R0,PZ001,0,2347.8,0.0,0.0,2347.8,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,1,2347.8,0.0,0.0,2347.8,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,2,2113.02,0.0,0.0,2113.02,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,3,1878.24,0.0,0.0,1878.24,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,4,1643.4600000000005,0.0,0.0,1643.4600000000005,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,5,939.12,0.0,0.0,939.12,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,18,939.12,0.0,0.0,939.12,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,19,1878.24,0.0,0.0,1878.24,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,20,2817.3599999999997,0.0,0.0,2817.3599999999997,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,21,3052.1400000000003,0.0,0.0,3052.1400000000003,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,22,2347.8,0.0,0.0,2347.8,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ001,23,1173.9,0.0,0.0,1173.9,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,0,335.40000000000003,0.0,0.0,335.40000000000003,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,1,335.40000000000003,0.0,0.0,335.40000000000003,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,2,301.86,0.0,0.0,301.86,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,3,268.32,0.0,0.0,268.32,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,4,234.78000000000003,0.0,0.0,234.78000000000003,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,5,134.16,0.0,0.0,134.16,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0,R0,PZ006,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
